date_time,pest,max_t,min_t,rh1,rh2,rf,ws,ssh,evp
01-01-2007 00:00,0,26.7,9.6,87.9,29.9,0,2.6,8.5,3.1
01-08-2007 00:00,0,28.8,10.6,88.9,31.6,0,2,8.3,3
01-15-2007 00:00,0,28.4,11.5,83.1,29.9,0,2.5,7.5,3.4
01-22-2007 00:00,0,29.8,10.4,83.3,22.4,0,2.2,9,3.8
01-29-2007 00:00,0,31.6,15.6,80,32,0,2.2,7.1,3.9
02-05-2007 00:00,0,31.3,16.4,85.3,37.3,0,4.5,7.6,4.6
02-12-2007 00:00,0,27.6,15,86.6,47.3,22.4,4.2,8.2,4
02-19-2007 00:00,0,30.4,13,81.1,21.3,0,2.9,10.2,4.9
02-26-2007 00:00,0,32,16.6,77.9,27,0,4.7,9.6,5.9
03-05-2007 00:00,0,31.9,17,73.7,30,0,3.3,8.2,5.3
03-12-2007 00:00,0,32.6,17.8,80.1,29.7,3,4.2,8,5.6
03-19-2007 00:00,0,37.3,21.2,66.7,22,0,3.5,9.1,7.1
03-26-2007 00:00,0,37.5,18.7,58.3,14.4,0,3.5,9.9,8
04-02-2007 00:00,0,39.7,21.3,52.4,17.7,0,4.6,8.7,8.7
04-09-2007 00:00,0,39,23.7,55.9,22,3.2,6.9,8.4,9.5
04-16-2007 00:00,0,37.1,24.1,62.6,27.6,0,6.6,7,8.1
04-23-2007 00:00,0,41.7,24.3,39.1,10.9,0,6.1,8.7,11
04-30-2007 00:00,0,41,25.6,51.6,24,0,6.3,7.9,10.4
05-07-2007 00:00,0,41.5,26,62.3,21.4,11,6.5,8.5,10.6
05-14-2007 00:00,0,42,26.9,53.6,19.9,1.2,6.7,7.5,10.6
05-21-2007 00:00,0,42.6,28.9,40.4,15.7,0,8.4,6.2,13.1
05-28-2007 00:00,0,41.6,27.9,45,21,6.8,7.8,6.8,11.7
06-04-2007 00:00,0,42.5,30,48.1,27.4,6.8,9.6,5.5,12.2
06-11-2007 00:00,0,37.6,26.3,72.9,43.6,29.4,10.3,4.7,8.4
06-18-2007 00:00,9,34.2,25.3,90.3,67,120.8,9.8,6.3,6.5
06-25-2007 00:00,43,30.5,23.9,93.9,77.6,230,11.9,2,2.6
07-02-2007 00:00,8,29.9,24.9,85.7,76.7,80.6,14,2.2,4.3
07-09-2007 00:00,2,30.2,24.8,92,78.7,74.6,10.6,2.5,3.5
07-16-2007 00:00,0,31.9,25.5,89.1,69.9,10.2,9.2,1.6,4.2
07-23-2007 00:00,1,32.1,24.5,92.3,68.7,95.1,6.3,4.2,4.6
07-30-2007 00:00,17,31.8,25.3,90,68.9,10.2,5.9,3.4,3.6
08-06-2007 00:00,48,29.7,24.9,92.3,83,110.9,9.4,2.3,3.1
08-13-2007 00:00,19,29.4,24.8,90.6,72.9,4.6,10.5,1.6,3.2
