date_time,pest,max_t,min_t,rh1,rh2,rf,ws,ssh,evp
01-01-2007 00:00,28,28.4,12,86.4,33.1,0,2.5,8.7,4.2
01-08-2007 00:00,20,27.6,12.9,87.7,36.6,0,3.8,9.3,3.8
01-15-2007 00:00,25,30.2,13.7,85.9,32.7,0,2.7,9.2,4
01-22-2007 00:00,60,30.7,15.5,85.3,34.4,0,3.3,9,4.7
01-29-2007 00:00,48,31.4,15.5,84.3,26,0,4.9,8.9,5.3
02-05-2007 00:00,53,31.9,16.5,83.4,31.1,0,4.3,9.2,4.7
02-12-2007 00:00,36,30.6,16.1,82,33.6,0,4,8.4,4.2
02-19-2007 00:00,41,30.5,14.3,82,26.3,0,5.7,9.9,5.1
02-26-2007 00:00,48,33.9,16.6,66.6,21.6,0,4.6,10.1,6.2
03-05-2007 00:00,109,34.6,21.4,80,28.6,0,6,8.4,6.2
03-12-2007 00:00,144,34.4,19.3,69.9,24.7,0,5.4,8.7,6.7
03-19-2007 00:00,384,37.6,22.4,61.4,19.4,0,3.8,7,6.8
03-26-2007 00:00,285,37.4,20.6,70.4,18.9,0,4.5,8.4,7.1
04-02-2007 00:00,265,38.8,22,74.9,19.6,0,4.8,8.8,7.4
04-09-2007 00:00,165,37.6,23.4,74.4,27.3,2.6,6.1,8,7.1
04-16-2007 00:00,1430,34.8,22.2,75.7,36.1,15.2,5,8.9,6.5
04-23-2007 00:00,1246,39.2,23.8,58.7,19.3,0,4.7,10.3,7.6
04-30-2007 00:00,641,39.3,25.4,73,32,31,5.6,9,8.9
05-07-2007 00:00,230,40.1,27.8,51.9,21.9,0,8.4,9.5,8
05-14-2007 00:00,80,40.3,27.2,42.9,19.7,0,9.2,10.5,9.9
05-21-2007 00:00,27,38.7,27.2,69.7,32,7.6,9.2,9.7,9.1
05-28-2007 00:00,121,37.3,26,71.4,49.1,0.6,7.3,6.5,8
06-04-2007 00:00,38,35.7,25.4,79.9,53.9,14.2,9.1,5.8,7.5
06-11-2007 00:00,16,34.2,26,83,57.4,6.8,6.2,4.8,5.9
06-18-2007 00:00,23,31.5,24.5,88,70,55.6,10.4,2.4,6
06-25-2007 00:00,35,28.2,23.4,90.4,77.3,57.1,15.2,0.9,4
07-02-2007 00:00,74,32.2,24.8,80.1,58.7,0,19.4,6.8,6.8
07-09-2007 00:00,28,32.3,24.1,84.4,57.9,39,13.7,4,6.8
07-16-2007 00:00,11,31.1,24.5,84.3,64.6,6.4,8,5,6.7
07-23-2007 00:00,16,32.1,24.1,87.6,63,0,5,5,5.4
07-30-2007 00:00,1,30.6,23.6,90.4,70.3,54,8.1,4.1,4.6
08-06-2007 00:00,0,30.2,23.8,87.6,72.7,20.7,13.5,5.3,5.5
